hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 2664.04, -434.174, 2701.85, -367.763, 2626.11, -570.282
2, 0.00000, 2788.52, -449.483, 2836.67, -377.755, 2761.19, -574.006
3, 0.00000, 2678.87, -507.827, 2738.21, -437.116, 2674.4, -610.659
4, 0.00000, 2703.35, -494.995, 2761.1, -423.455, 2694.56, -602.113
5, 0.00000, 2738.8, -468.9, 2790.72, -397.839, 2719.33, -586.178
6, 0.00000, 2644.17, -457.46, 2688.11, -390.638, 2616.72, -583.043
7, 0.00000, 2710.87, -409.076, 2743.35, -342.587, 2662.96, -554.932
8, 0.00000, 2871.53, -321.015, 2884.1, -254.686, 2786.59, -503.299
9, 0.00000, 3072.64, -206.436, 3057.14, -141.165, 2937, -440.077
10, 0.00000, 3186.17, -142.138, 3163.8, -68.1992, 3027.35, -400.483
11, 0.00000, 3225.87, -120.194, 3204.28, -39.8423, 3060.58, -385.465
12, 0.00000, 3260.19, -101.75, 3241.68, -13.2404, 3090.29, -371.761
13, 0.00000, 3206.41, -131.05, 3184.69, -53.3626, 3043.36, -393.379
14, 0.00000, 3210.06, -128.932, 3187.97, -51.2561, 3046.91, -391.737
15, 0.00000, 3233.65, -115.998, 3212.65, -33.8753, 3067.1, -382.497
16, 0.00000, 3366.54, -47.0693, 3368.7, 78.9996, 3189.53, -324.079
17, 0.00000, 3376.11, -18.4988, 3388.89, 127.647, 3196.8, -298.64
18, 0.00000, 3397.63, 76.0498, 3425.33, 263.862, 3228.31, -208.678
19, 0.00000, 3403.61, 127.085, 3429.75, 326.326, 3246.57, -157.842
20, 0.00000, 3373.47, 91.0713, 3401.1, 283.027, 3207.27, -194.665
21, 0.00000, 3365.25, 43.6994, 3390.48, 221.478, 3190.64, -241.089
22, 0.00000, 3353.65, -22.8895, 3366.14, 123.126, 3175.87, -302.9
23, 0.00000, 2938.16, -283.438, 2941.02, -218.089, 2836.77, -482.289
24, 0.00000, 2664.64, -433.67, 2701.11, -368.297, 2626.27, -570.237
